,Ship Type_Length,Hour,size
0,RTV,3,1
1,RTV,4,1
2,RTV,6,1
3,SC,0,22
4,SC,1,38
5,SC,2,95
6,SC,3,48
7,SC,4,63
8,SC,5,45
9,SC,6,22
10,SC,7,92
11,SC,8,26
12,SC,9,17
13,SC,10,11
14,SC,11,26
15,SC,12,4
16,SC,13,4
17,SC,14,4
18,SC,15,7
19,SC,17,1
20,SC,18,4
21,SC,19,3
22,SC,20,22
23,SC,21,24
24,SC,22,7
25,SC,23,4
