,X,Y,Z,fid,overall_tn,begin,end,Track ID,Vessel Type Number,Ship Type_Length,Ship Type_Num,fid_2,Nearest,Hour
4,113.911575266072,22.4191974343351,0,5,233854,2021/11/05 14:40:57,2021/11/05 14:41:30,22183,,SC,,1,2021-11-05T14:41:30.000,15
5,113.910107222293,22.4186922370799,0,6,371226,2021/11/05 03:32:51,2021/11/05 08:16:00,29315,,SC,,1,2021-11-05T19:43:00.000,20
6,113.912262464614,22.4194339196648,0,7,514705,2021/11/05 01:43:24,2021/11/05 02:42:00,798,,SC,,1,2021-11-05T01:54:00.000,2
0,113.911116557867,22.4190395792836,0,1,258831,2021/11/06 13:02:51,2021/11/06 13:33:30,23479,30.0,SC,SC,1,2021-11-06T00:21:03.000,0
1,113.910606448329,22.4188640355145,0,2,430460,2021/11/06 00:01:03,2021/11/06 01:06:00,3587,,SC,,1,2021-11-06T19:38:30.000,20
2,113.911035540859,22.4190116989365,0,3,430460,2021/11/06 00:01:03,2021/11/06 01:06:00,3587,,SC,,1,2021-11-06T00:51:03.000,1
3,113.911052009951,22.419017366438,0,4,430460,2021/11/06 00:01:03,2021/11/06 01:06:00,3587,,SC,,1,2021-11-06T00:21:03.000,0
4,113.911096522766,22.4190326846131,0,5,430460,2021/11/06 00:01:03,2021/11/06 01:06:00,3587,,SC,,1,2021-11-06T00:21:03.000,0
5,113.911002629021,22.4190003730004,0,6,205504,2021/11/06 07:48:12,2021/11/06 07:50:30,20708,,SC,,1,2021-11-06T00:51:03.000,1
6,113.911472387525,22.4191620307864,0,7,457051,2021/11/06 04:38:27,2021/11/06 04:44:00,498,,SC,,1,2021-11-06T01:13:00.000,1
7,113.910308029425,22.4187613407491,0,8,493542,2021/11/06 05:55:30,2021/11/06 06:23:00,688,,SC,,1,2021-11-06T06:19:00.000,6
8,113.909971138353,22.4186454065741,0,9,474585,2021/11/06 19:04:57,2021/11/06 20:33:00,5891,,SC,,1,2021-11-06T04:16:30.000,4
9,113.910735445534,22.4189084272653,0,10,474585,2021/11/06 19:04:57,2021/11/06 20:33:00,5891,,SC,,1,2021-11-06T00:07:03.000,0
10,113.911940069136,22.4193229738516,0,11,390398,2021/11/06 02:20:24,2021/11/06 07:51:30,30307,,SC,,1,2021-11-06T06:51:00.000,7
11,113.909912603373,22.4186252629571,0,12,174212,2021/11/06 02:35:30,2021/11/06 05:19:24,19087,,SC,,1,2021-11-06T04:17:00.000,4
12,113.910014056189,22.4186601758698,0,13,174212,2021/11/06 02:35:30,2021/11/06 05:19:24,19087,,SC,,1,2021-11-06T04:16:00.000,4
13,113.910100904424,22.4186900629143,0,14,174212,2021/11/06 02:35:30,2021/11/06 05:19:24,19087,,SC,,1,2021-11-06T04:15:00.000,4
14,113.910104867578,22.418691426753,0,15,174212,2021/11/06 02:35:30,2021/11/06 05:19:24,19087,,SC,,1,2021-11-06T04:15:00.000,4
15,113.910345464236,22.4187742231742,0,16,174212,2021/11/06 02:35:30,2021/11/06 05:19:24,19087,,SC,,1,2021-11-06T06:19:00.000,6
16,113.910446992059,22.418809161899,0,17,174212,2021/11/06 02:35:30,2021/11/06 05:19:24,19087,,SC,,1,2021-11-06T00:04:00.000,0
17,113.910718890871,22.4189027303167,0,18,174212,2021/11/06 02:35:30,2021/11/06 05:19:24,19087,,SC,,1,2021-11-06T00:06:00.000,0
18,113.910833159999,22.4189420537011,0,19,174212,2021/11/06 02:35:30,2021/11/06 05:19:24,19087,,SC,,1,2021-11-06T04:55:30.000,5
19,113.910275622988,22.4187501887364,0,20,229348,2021/11/06 06:19:45,2021/11/06 07:07:00,2195,,SC,,1,2021-11-06T03:07:30.000,3
20,113.911256059802,22.4190875860229,0,21,233139,2021/11/06 01:34:39,2021/11/06 02:52:30,22146,,SC,,1,2021-11-06T00:23:03.000,0
21,113.911165877358,22.4190565515782,0,22,340612,2021/11/06 01:11:15,2021/11/06 01:14:30,27729,,SC,,1,2021-11-06T00:23:03.000,0
22,113.911503300874,22.4191726689834,0,23,222682,2021/11/06 06:44:15,2021/11/06 07:53:00,21600,,SC,,1,2021-11-06T01:13:00.000,1
23,113.91060443503,22.4188633426788,0,24,99108,2021/11/06 10:11:33,2021/11/06 10:24:00,15175,,SC,,1,2021-11-06T19:38:30.000,20
0,113.911373736057,22.4191280819004,0,1,293067,2021/11/07 01:40:09,2021/11/07 02:51:00,25249,,SC,,1,2021-11-07T03:37:42.000,4
1,113.911594853696,22.4192041750154,0,2,293067,2021/11/07 01:40:09,2021/11/07 02:51:00,25249,,SC,,1,2021-11-07T03:37:42.000,4
2,113.912008957892,22.419346680509,0,3,529808,2021/11/07 06:50:00,2021/11/07 07:52:00,8763,,SC,,1,2021-11-07T03:38:00.000,4
3,113.910459832025,22.4188135805106,0,4,76167,2021/11/07 02:11:09,2021/11/07 02:22:30,13985,,SC,,1,2021-11-07T03:37:00.000,4
4,113.910291959798,22.4187558107155,0,5,411698,2021/11/07 08:37:48,2021/11/07 08:43:00,31409,,SC,,1,2021-11-07T03:38:00.000,4
5,113.910497264111,22.418826461998,0,6,159533,2021/11/07 03:19:45,2021/11/07 04:04:15,18331,,SC,,1,2021-11-07T03:37:00.000,4
6,113.910710305121,22.4188997757063,0,7,159533,2021/11/07 03:19:45,2021/11/07 04:04:15,18331,,SC,,1,2021-11-07T03:20:00.000,3
7,113.910159918786,22.4187103715007,0,8,226842,2021/11/07 01:14:33,2021/11/07 03:13:55,21818,,SC,,1,2021-11-07T01:44:30.000,2
8,113.911243038197,22.4190831049035,0,9,240929,2021/11/07 00:07:12,2021/11/07 00:08:30,22549,,SC,,1,2021-11-07T03:37:42.000,4
9,113.910442242055,22.418807527282,0,10,475696,2021/11/07 01:09:45,2021/11/07 03:10:00,5953,,SC,,1,2021-11-07T03:37:00.000,4
10,113.91037992292,22.4187860814259,0,11,301521,2021/11/07 01:43:51,2021/11/07 01:51:00,25682,,SC,,1,2021-11-07T03:37:30.000,4
0,113.910981581743,22.4189931300101,0,1,340591,2021/11/08 01:45:33,2021/11/08 02:48:30,27727,60.0,SC,SC,1,2021-11-08T01:47:00.000,2
1,113.910075574629,22.4186813461832,0,2,143539,2021/11/08 20:14:18,2021/11/08 20:22:30,1750,,SC,,1,2021-11-08T01:46:30.000,2
2,113.91135471464,22.4191215360684,0,3,411230,2021/11/08 06:42:57,2021/11/08 07:35:30,31384,,SC,,1,2021-11-08T06:48:30.000,7
0,113.910636671582,22.418874436229,0,1,498248,2021/11/09 06:38:54,2021/11/09 07:31:30,7129,,SC,,1,2021-11-09T02:10:30.000,2
1,113.911217460493,22.4190743028595,0,2,498248,2021/11/09 06:38:54,2021/11/09 07:31:30,7129,,SC,,1,2021-11-09T01:47:00.000,2
2,113.911282867417,22.4190968113155,0,3,498248,2021/11/09 06:38:54,2021/11/09 07:31:30,7129,,SC,,1,2021-11-09T01:47:00.000,2
3,113.90981163508,22.4185905167831,0,4,150115,2021/11/09 10:04:00,2021/11/09 10:22:00,17839,,SC,,1,2021-11-09T10:22:00.000,10
4,113.910108123043,22.4186925470545,0,5,370372,2021/11/09 21:11:27,2021/11/09 22:46:30,29274,,SC,,1,2021-11-09T21:12:00.000,21
5,113.91291537598,22.4196586057637,0,6,401935,2021/11/09 21:04:51,2021/11/09 21:08:00,30909,,SC,,1,2021-11-09T21:06:00.000,21
6,113.912972269906,22.4196781846455,0,7,401935,2021/11/09 21:04:51,2021/11/09 21:08:00,30909,,SC,,1,2021-11-09T21:06:00.000,21
7,113.911106369218,22.4190360730685,0,8,118803,2021/11/09 01:40:33,2021/11/09 02:36:00,16189,,SC,,1,2021-11-09T01:47:00.000,2
0,113.909873107763,22.4186116713505,0,1,276371,2021/11/10 01:23:09,2021/11/10 01:28:03,2438,,SC,,1,2021-11-10T01:27:30.000,1
1,113.909995178423,22.4186536794725,0,2,276371,2021/11/10 01:23:09,2021/11/10 01:28:03,2438,,SC,,1,2021-11-10T21:01:30.000,21
2,113.910069693549,22.4186793223297,0,3,260753,2021/11/10 20:41:45,2021/11/10 21:50:00,23576,,SC,,1,2021-11-10T01:28:03.000,1
3,113.911219007384,22.4190748351904,0,4,244005,2021/11/10 01:14:39,2021/11/10 02:52:00,22703,,SC,,1,2021-11-10T02:08:00.000,2
4,113.911498155012,22.41917089814,0,5,244005,2021/11/10 01:14:39,2021/11/10 02:52:00,22703,,SC,,1,2021-11-10T06:44:30.000,7
5,113.911275834459,22.4190943910669,0,6,355139,2021/11/10 06:37:42,2021/11/10 07:56:30,28481,,SC,,1,2021-11-10T06:44:30.000,7
0,113.912775592224,22.4196105020417,0,1,499875,2021/11/11 04:51:18,2021/11/11 07:56:52,7216,,SC,,1,2021-11-11T07:25:00.000,7
1,113.912194129713,22.4194104036056,0,2,236363,2021/11/11 03:02:39,2021/11/11 03:03:30,22312,,SC,,1,2021-11-11T03:03:30.000,3
2,113.910081217357,22.4186832880127,0,3,205433,2021/11/11 06:37:18,2021/11/11 07:39:30,20704,,SC,,1,2021-11-11T19:57:00.000,20
3,113.910626416968,22.4188709073133,0,4,205433,2021/11/11 06:37:18,2021/11/11 07:39:30,20704,,SC,,1,2021-11-11T06:40:30.000,7
4,113.911028510994,22.4190092797523,0,5,205433,2021/11/11 06:37:18,2021/11/11 07:39:30,20704,,SC,,1,2021-11-11T06:44:00.000,7
5,113.910381672441,22.4187866834877,0,6,310867,2021/11/11 08:00:00,2021/11/11 08:18:00,26169,,SC,,1,2021-11-11T06:40:30.000,7
6,113.911043733774,22.419014518361,0,7,287534,2021/11/11 05:25:42,2021/11/11 06:42:00,24957,,SC,,1,2021-11-11T06:44:00.000,7
7,113.911078414839,22.4190264531402,0,8,281137,2021/11/11 01:39:36,2021/11/11 02:41:30,24624,,SC,,1,2021-11-11T06:44:00.000,7
8,113.911311986039,22.419106831894,0,9,281137,2021/11/11 01:39:36,2021/11/11 02:41:30,24624,,SC,,1,2021-11-11T02:09:30.000,2
9,113.911499989874,22.4191715295703,0,10,281137,2021/11/11 01:39:36,2021/11/11 02:41:30,24624,,SC,,1,2021-11-11T02:09:30.000,2
0,113.91125793759,22.4190882322252,0,1,4165,2021/11/12 01:41:36,2021/11/12 02:42:00,10214,,SC,,1,2021-11-12T02:12:00.000,2
1,113.911956841959,22.419328745876,0,2,4165,2021/11/12 01:41:36,2021/11/12 02:42:00,10214,,SC,,1,2021-11-12T02:13:00.000,2
2,113.912324443326,22.4194552483716,0,3,4165,2021/11/12 01:41:36,2021/11/12 02:42:00,10214,,SC,,1,2021-11-12T01:50:00.000,2
3,113.909989306316,22.4186516587068,0,4,178338,2021/11/12 05:31:33,2021/11/12 05:49:00,19296,,SC,,1,2021-11-12T05:47:30.000,6
4,113.910106753019,22.4186920755888,0,5,178338,2021/11/12 05:31:33,2021/11/12 05:49:00,19296,,SC,,1,2021-11-12T05:47:30.000,6
5,113.910728213321,22.4189059384473,0,6,419002,2021/11/12 07:07:00,2021/11/12 07:10:30,31792,,SC,,1,2021-11-12T07:08:30.000,7
6,113.911793272346,22.4192724567374,0,7,179937,2021/11/12 06:08:36,2021/11/12 06:09:30,19379,,SC,,1,2021-11-12T01:49:30.000,2
7,113.911310449483,22.4191063031197,0,8,520750,2021/11/12 06:35:57,2021/11/12 07:39:00,8298,,SC,,1,2021-11-12T02:12:00.000,2
0,113.910341011534,22.4187726908679,0,1,98936,2021/11/13 01:33:54,2021/11/13 01:36:00,15167,,SC,,1,2021-11-13T01:35:00.000,2
1,113.910085919744,22.418684906243,0,2,135978,2021/11/13 07:01:45,2021/11/13 07:26:21,17097,,SC,,1,2021-11-13T03:24:30.000,3
2,113.910499131723,22.4188271046984,0,3,135978,2021/11/13 07:01:45,2021/11/13 07:26:21,17097,,SC,,1,2021-11-13T07:05:30.000,7
3,113.91149889318,22.4191711521655,0,4,181128,2021/11/13 02:28:18,2021/11/13 02:37:00,19438,,SC,,1,2021-11-13T11:17:00.000,11
4,113.910648080773,22.418878362469,0,5,231983,2021/11/13 06:37:45,2021/11/13 07:38:00,22086,,SC,,1,2021-11-13T07:06:00.000,7
5,113.91125405653,22.4190868966377,0,6,231983,2021/11/13 06:37:45,2021/11/13 07:38:00,22086,,SC,,1,2021-11-13T11:16:30.000,11
6,113.911397895044,22.4191363957216,0,7,462332,2021/11/13 11:02:54,2021/11/13 11:21:49,5248,,SC,,1,2021-11-13T08:41:00.000,9
7,113.911831971532,22.4192857742714,0,8,462332,2021/11/13 11:02:54,2021/11/13 11:21:49,5248,,SC,,1,2021-11-13T11:18:00.000,11
8,113.910493909536,22.4188253075894,0,9,320844,2021/11/13 04:21:33,2021/11/13 04:22:00,26690,,SC,,1,2021-11-13T07:05:30.000,7
9,113.910318465745,22.4187649321955,0,10,443993,2021/11/13 03:02:09,2021/11/13 03:51:30,4301,,SC,,1,2021-11-13T06:44:00.000,7
10,113.91211078728,22.4193817230111,0,11,443993,2021/11/13 03:02:09,2021/11/13 03:51:30,4301,,SC,,1,2021-11-13T11:18:00.000,11
11,113.911639155553,22.4192194205938,0,12,186291,2021/11/13 05:54:27,2021/11/13 05:55:30,19706,,SC,,1,2021-11-13T11:17:30.000,11
12,113.909799331734,22.4185862828381,0,13,233197,2021/11/13 03:47:09,2021/11/13 04:20:30,22149,,SC,,1,2021-11-13T03:43:00.000,4
13,113.911193216357,22.419065959736,0,14,279320,2021/11/13 04:50:54,2021/11/13 04:52:37,24533,,SC,,1,2021-11-13T11:16:30.000,11
14,113.911088634483,22.4190299700218,0,15,379518,2021/11/13 06:14:57,2021/11/13 06:32:00,29744,,SC,,1,2021-11-13T11:16:30.000,11
