,X,Y,Z,fid,overall_tn,begin,end,Track ID,Vessel Type Number,Ship Type_Length,Ship Type_Num,fid_2,id,intersects,length,Nearest,Hour
45,113.914151594379,22.4221761979587,0,46,349174,2021/11/14 03:08:45,2021/11/14 08:23:30,28169,70.0,STV,RTV,1,1,,5110.74,2021-11-14T08:11:30.000,8
46,113.914047940001,22.4224100627962,0,47,145396,2021/11/14 09:13:12,2021/11/14 09:46:00,17593,70.0,STV,RTV,1,1,,5110.74,2021-11-14T18:05:30.000,18
47,113.913102075418,22.4245441209115,0,48,149289,2021/11/14 13:01:12,2021/11/14 14:59:49,17797,,RTV,,1,1,,5110.74,2021-11-14T13:03:12.000,13
48,113.914108179167,22.4222741512903,0,49,155278,2021/11/14 00:00:30,2021/11/14 12:17:30,18107,60.0,STV,PV,1,1,,5110.74,2021-11-14T18:05:30.000,18
49,113.913934523733,22.4226659523934,0,50,245297,2021/11/14 18:47:24,2021/11/14 18:49:00,22770,,SC,,1,1,,5110.74,2021-11-14T04:42:10.000,5
50,113.913432427396,22.423798781322,0,51,259624,2021/11/14 00:36:39,2021/11/14 00:41:30,23519,,SC,,1,1,,5110.74,2021-11-14T22:26:39.000,22
51,113.914120329984,22.4222467366357,0,52,367136,2021/11/14 00:00:33,2021/11/14 20:32:00,29105,70.0,STV,RTV,1,1,,5110.74,2021-11-14T05:42:00.000,6
52,113.913332608053,22.4240239935605,0,53,553036,2021/11/14 22:03:06,2021/11/14 22:03:46,9958,,SC,,1,1,,5110.74,2021-11-14T22:03:06.000,22
53,113.914173465728,22.422126851859,0,54,128148,2021/11/14 16:24:06,2021/11/14 23:59:48,16687,70.0,STV,RTV,1,1,,5110.74,2021-11-14T08:11:30.000,8
54,113.914131776387,22.4222209112796,0,55,204042,2021/11/14 05:41:57,2021/11/14 05:53:00,20634,,SC,,1,1,,5110.74,2021-11-14T05:42:00.000,6
55,113.913184564808,22.4243580084863,0,56,463395,2021/11/14 23:05:06,2021/11/14 23:17:06,5303,,RTV,,1,1,,5110.74,2021-11-14T23:07:06.000,23
56,113.914078852527,22.422340318007,0,57,203823,2021/11/14 22:23:48,2021/11/14 23:44:30,20624,,SC,,1,1,,5110.74,2021-11-14T18:05:30.000,18
57,113.914182428745,22.4221066295129,0,58,546533,2021/11/14 07:41:39,2021/11/14 07:52:54,9612,,SC,,1,1,,5110.74,2021-11-14T08:11:30.000,8
58,113.914158727265,22.422160104755,0,59,148665,2021/11/14 00:00:39,2021/11/14 04:45:00,17765,70.0,STV,RTV,1,1,,5110.74,2021-11-14T08:11:30.000,8
59,113.914084344248,22.4223279275935,0,60,148666,2021/11/14 17:51:57,2021/11/14 23:58:39,17765,70.0,STV,RTV,1,1,,5110.74,2021-11-14T18:05:30.000,18
0,113.913366009591,22.4239486330644,0,1,140394,2021/11/15 15:20:18,2021/11/15 15:20:30,17330,,SC,,1,1,,5110.74,2021-11-15T08:33:42.000,9
